word,english_equivalent,sentiment_hint
chaala mandhi like chesaru,many liked it,positive
baaga compromise chesaru,compromised a lot,negative
baaga disturbance vundhi,has too much disturbance,negative
sariga workout avvaledhu,didn’t work out well,negative
baaga tension vachesindi,got very tense,negative
complete ga fail ayyindi,completely failed,negative
chaala late ga vachesaru,came very late,negative
pichi ga matladutunnaru,talking crazily,negative
baaga vishayam chepparu,they explained it well,positive
manchidi anukuntunnanu,I think it's good,positive
baaga pattinchukuntadu,takes it seriously,neutral
chaala motivate ayyanu,got very motivated,positive
baaga struggle chesaru,struggled a lot,negative
aggressive gaa vundadu,not aggressive,neutral
entertainment full hai,full of entertainment,positive
baaga interesting undi,it's very interesting,positive
baaga experience undi,has good experience,positive
baaga practice cheyyi,practice well,positive
baaga impact chesindi,had big impact,positive
chaala silent vundadu,not very talkative,neutral
kaani result baagundi,but result was good,positive
baaga express chesaru,expressed well,positive
chaala clarity icharu,gave a lot of clarity,positive
chaala damage chesaru,caused a lot of damage,negative
baaga respond chesaru,responded well,positive
baaga valuable vundhi,it’s valuable,positive
baaga confuse ayyanu,got really confused,negative
mandi confuse ayyaru,many got confused,negative
baaga support icharu,gave great support,positive
kaani confuse ayyanu,but confused,negative
kaani accept chesaru,but accepted,positive
chaala pressure undi,under a lot of pressure,negative
baaga duplicate undi,it's very fake,negative
heart touch ayyindi,emotionally touching,positive
kaani chala bagundi,but very good,positive
aa movie super that,awesome movie,positive
senti ga vachesindi,got sentimental,negative
correct ga chepparu,told correctly,positive
clear ga cheppaledu,didn't say clearly,negative
routine ga chepparu,said routinely,neutral
baaga react chesaru,reacted strongly,neutral
baaga settle ayyadu,got settled well,positive
chaala late ayyindi,it got very late,negative
baaga reach ayyindi,got very popular,positive
baaga build chesaru,built it well,positive
mari serious vundhi,it’s too serious,negative
zabardast response,amazing response,positive
baaga bore ayyindi,very boring,negative
correct gaa cheppu,tell it correctly,neutral
chaala intelligent,very smart,positive
chaala hurt ayyanu,got really hurt,negative
selfish ga vundadu,not selfish,positive
baaga upset ayyanu,got very upset,negative
baaga logic vundhi,has good logic,positive
light teesukunnanu,took it lightly,neutral
baaga enjoy ayyanu,I enjoyed a lot,positive
mind block ayyindi,got a mental block,negative
baaga hurt ayyindi,it hurt a lot,negative
baaga time padindi,took a lot of time,neutral
complicated matter,hard topic,negative
em excitement ledu,no excitement,negative
sarigga cheppaledu,didn’t explain properly,negative
baaga risky vundhi,it’s too risky,negative
baaga enjoy chesa,enjoyed a lot,positive
baaga saripoyindi,it ended well,positive
okka chinna doubt,small doubt,neutral
andariki nachindi,everyone liked it,positive
chaala doubt undi,have many doubts,neutral
casual gaa untadu,he's casual,neutral
tension padakandi,don’t stress,positive
sarigga pettaledu,didn’t do properly,negative
easy ga cheppandi,say it easily,neutral
waste ga chepparu,said something useless,negative
baaga link vundhi,it's well connected,positive
interesting topic,exciting subject,positive
baaga feel ayyanu,I felt a lot,neutral
motivation vundhi,has motivation,positive
positive attitude,good mindset,positive
nannu hurt chesa,you hurt me,negative
okka sari cheppu,tell once,neutral
simple ga cheppu,say it simply,neutral
baaga logic ledu,no logic at all,negative
chaala pain undi,a lot of pain,negative
em joke chepparu,what a joke,negative
double confident,overconfident,negative
perfect solution,right solution,positive
careless ga undi,it’s careless,negative
strict ga cheppu,say it strictly,neutral
smooth ga vundhi,it’s smooth,positive
correct decision,right call,positive
em chepparu ledu,nothing was said,neutral
manchi plan idea,good planning,positive
zabardash kahani,amazing story,positive
chaala baagundi,very nice,positive
manchi vishayam,good thing,positive
inka cheppaledu,still not told,neutral
sensitive topic,controversial topic,neutral
super confident,very confident,positive
highlight point,key point,positive
dedication undi,has dedication,positive
baaga baga ledu,not so great,negative
confidence ledu,lacks confidence,negative
fully satisfied,very satisfied,positive
over confidence,too much confidence,negative
baaga avasaralu,too many needs,negative
manchi decision,good decision,positive
em special ledu,nothing special,neutral
simple decision,easy choice,positive
perfect aa undi,it’s perfect,positive
emotional scene,touching scene,positive
supportive vibe,encouraging feel,positive
dull atmosphere,boring environment,negative
baaga slow undi,too slow,negative
chaala kashtam,very difficult,negative
bhayankar undi,it’s terrifying,negative
double meaning,confusing/slang,neutral
complete waste,totally useless,negative
next level hai,next level,positive
gattiga cheppu,speak strongly,positive
baaga choosadu,he watched closely,neutral
worst behavior,bad behavior,negative
simple ga undi,it's simple,positive
fully involved,very engaged,positive
mari dangerous,too dangerous,negative
involve ayyanu,got involved,neutral
mari happy hai,so happy,positive
extra ordinary,beyond ordinary,positive
adjust chesaru,they adjusted,neutral
horrible scene,bad scene,negative
great response,awesome response,positive
jolly gaa undi,it’s chill/fun,positive
danger ga undi,it’s dangerous,negative
strong emotion,intense feeling,positive
chaala serious,very serious,neutral
trigger ayyanu,I got triggered,negative
mari energetic,very energetic,positive
chala bagundi,really nice,positive
ipudu bagundi,now it's good,positive
worst feeling,terrible feeling,negative
chaala sariga,very proper,positive
sweet ga undi,it's sweet,positive
mari manchidi,really good,positive
tappu chesaru,made a mistake,negative
